id;field_name;description;field_order;field_type;min_value;max_value;max_length;pattern;dictionary_id;default_value;template_id;invalid_pattern_message;place_holder;min_inclusive;max_inclusive;read_only;form_template_group_id
37;numThreads;Число потоков;1;INTEGER;1;10;255;NULL;NULL;1;7;NULL;NULL;true;true;false;NULL
38;minError;Минимальная допустимая ошибка классификатора;2;DECIMAL;0;0.5;255;NULL;NULL;0;7;NULL;NULL;true;true;false;NULL
39;maxError;Максимальная допустимая ошибка классификатора;3;DECIMAL;0;0.5;255;NULL;NULL;0.5;7;NULL;NULL;true;true;false;NULL
40;useWeightedVotes;Метод взвешенного голосования;4;BOOLEAN;NULL;NULL;NULL;NULL;NULL;false;7;NULL;NULL;true;true;false;NULL
41;useRandomClassifier;Случайный классификатор;5;BOOLEAN;NULL;NULL;NULL;NULL;NULL;true;7;NULL;NULL;true;true;false;NULL
42;samplingMethod;Формирование обучающих выборок;6;REFERENCE;NULL;NULL;NULL;NULL;4;INITIAL;7;NULL;NULL;true;true;false;NULL
43;useRandomSubspaces;Использование метода случайных подпространств;7;BOOLEAN;NULL;NULL;NULL;NULL;NULL;false;7;NULL;NULL;true;true;false;NULL
44;seed;Начальное значение (seed);8;INTEGER;0;2147483647;255;NULL;NULL;1;7;NULL;NULL;true;true;false;NULL
45;classifierOptions;Базовые классификаторы;9;LIST_OBJECTS;NULL;NULL;25;NULL;NULL;NULL;7;NULL;NULL;true;true;false;1

# Random forests form fields template

46;decisionTreeType;Алгоритм построения дерева;0;REFERENCE;NULL;NULL;NULL;NULL;2;CART;8;NULL;NULL;true;true;false;NULL
47;numIterations;Число деревьев;1;INTEGER;1;2147483647;255;NULL;NULL;10;8;NULL;NULL;true;true;false;NULL
48;minObj;Минимальное число объектов в листе;2;INTEGER;0;2147483647;255;NULL;NULL;2;8;NULL;NULL;true;true;false;NULL
49;maxDepth;Максимальная глубина дерева;3;INTEGER;0;2147483647;255;NULL;NULL;0;8;NULL;NULL;true;true;false;NULL
50;numRandomAttr;Число случайных атрибутов;4;INTEGER;0;2147483647;255;NULL;NULL;0;8;NULL;NULL;true;true;false;NULL
51;numThreads;Число потоков;5;INTEGER;1;10;255;NULL;NULL;1;8;NULL;NULL;true;true;false;NULL
52;seed;Начальное значение (seed);6;INTEGER;0;2147483647;255;NULL;NULL;1;8;NULL;NULL;true;true;false;NULL

# Extra trees form fields template

53;decisionTreeType;Алгоритм построения дерева;0;REFERENCE;NULL;NULL;NULL;NULL;2;CART;9;NULL;NULL;true;true;false;NULL
54;numIterations;Число деревьев;1;INTEGER;1;2147483647;255;NULL;NULL;10;9;NULL;NULL;true;true;false;NULL
55;minObj;Минимальное число объектов в листе;2;INTEGER;0;2147483647;255;NULL;NULL;2;9;NULL;NULL;true;true;false;NULL
56;maxDepth;Максимальная глубина дерева;3;INTEGER;0;2147483647;255;NULL;NULL;0;9;NULL;NULL;true;true;false;NULL
57;numRandomAttr;Число случайных атрибутов;4;INTEGER;0;2147483647;255;NULL;NULL;0;9;NULL;NULL;true;true;false;NULL
58;numThreads;Число потоков;5;INTEGER;1;10;255;NULL;NULL;1;9;NULL;NULL;true;true;false;NULL
59;numRandomSplits;Число случайных расщеплений атрибута;6;INTEGER;1;2147483647;255;NULL;NULL;1;9;NULL;NULL;true;true;false;NULL
60;useBootstrapSamples;Использование бутстрэп-выборок;7;BOOLEAN;NULL;NULL;NULL;NULL;NULL;false;9;NULL;NULL;true;true;false;NULL
61;seed;Начальное значение (seed);8;INTEGER;0;2147483647;255;NULL;NULL;1;9;NULL;NULL;true;true;false;NULL

# Stacking form fields template

62;useCrossValidation;V-блочная кросс-проверка для формирования мета-признаков;0;BOOLEAN;NULL;NULL;NULL;NULL;NULL;false;10;NULL;NULL;true;true;false;NULL
63;numFolds;Количество блоков;1;INTEGER;2;100;255;NULL;NULL;10;10;NULL;NULL;true;true;false;NULL
64;seed;Начальное значение (seed);2;INTEGER;0;2147483647;255;NULL;NULL;1;10;NULL;NULL;true;true;false;NULL
65;classifierOptions;Базовые классификаторы;3;LIST_OBJECTS;NULL;NULL;25;NULL;NULL;NULL;10;NULL;NULL;true;true;false;1
66;metaClassifierOptions;Мета классификатор;4;ONE_OF_OBJECT;NULL;NULL;NULL;NULL;NULL;NULL;10;NULL;NULL;true;true;false;1

# Random networks form fields template

67;numIterations;Число итераций;0;INTEGER;1;2147483647;255;NULL;NULL;10;11;NULL;NULL;true;true;false;NULL
68;numThreads;Число потоков;1;INTEGER;1;10;255;NULL;NULL;1;11;NULL;NULL;true;true;false;NULL
69;minError;Минимальная допустимая ошибка классификатора;2;DECIMAL;0;0.5;255;NULL;NULL;0;11;NULL;NULL;true;true;false;NULL
70;maxError;Максимальная допустимая ошибка классификатора;3;DECIMAL;0;0.5;255;NULL;NULL;0.5;11;NULL;NULL;true;true;false;NULL
71;useBootstrapSamples;Использование бутстрэп - выборок;4;BOOLEAN;NULL;NULL;NULL;NULL;NULL;false;11;NULL;NULL;true;true;false;NULL
72;seed;Начальное значение (seed);5;INTEGER;0;2147483647;255;NULL;NULL;1;11;NULL;NULL;true;true;false;NULL
